,age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,alternative_collection_strategies,overall_experience_with_loan_process,reCoMmendations
88,38 to 48,Male,Divorced,Central,Master,Luanar,2015.0,Agronomy,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Provide multi- language support,neutral,"Simplify repayment methods, Reduce interest rates"
89,28 to 37,Male,Married,northern,Bachelor,Chanco,2002.0,Law,Employed_fulltime,2001,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Early intervention,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
90,28 to 37,Male,Married,Southern,Bachelor,Chanco,2017.0,Law,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,voluntary_monthly,very_convenient,very_effective,effective,very_positive,Categorise borrowers based on risk and payment history,Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
91,28 to 37,Female,Married,northern,Bachelor,Poly,2016.0,Mechanical_Engineering,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,Partially_paid,Email,monthly_salary,neutral,neutral,effective,neutral,Maintain transparency and CoMpliance,neutral,Provide more flexible repayment plans
92,28 to 37,Female,Married,Southern,Bachelor,Chanco ,2009.0,Science,Employed_fulltime,2008,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Work with borrowers to find mutually beneficial solution ,Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
93,Above 49,Male,Married,Central,Doctorate,Chanco ,2004.0,Science,Employed_fulltime,2003,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer rewards for timely payments or early settlements ,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
94,28 to 37,Male,Married,northern,Bachelor,Chanco ,2016.0,Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer rewards for timely payments or early settlements ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
95,21 to 27,Female,Single,northern,Bachelor,Chanco ,2016.0,Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
96,21 to 27,Female,Married,Southern,Bachelor,Chanco ,2013.0,Science,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Provide more flexible repayment plans, Reduce interest rates"
97,28 to 37,Female,Married,Central,Bachelor,Chanco ,2014.0,Science,Employed_fulltime,2021,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Email_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
98,21 to 27,Female,Married,Central,Bachelor,Chanco ,2016.0,Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Celebrate success ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
99,21 to 27,Female,Single,Southern,Bachelor,Chanco ,2016.0,Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Fully_paid,Email_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
100,28 to 37,Female,Married,Southern,Bachelor,Chanco ,2013.0,Science,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
101,21 to 27,Female,Single,Southern,Bachelor,Chanco ,2016.0,Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
102,28 to 37,Female,Single,Southern,Bachelor,Chanco ,2015.0,Science,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use data analytics ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
103,21 to 27,Female,Single,Southern,Bachelor,Luanar ,2013.0,Fisheries_and_Aquatic_Sciences,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Phonecall_Inperson,voluntary_monthly,neutral,neutral,effective,positive,Provide rewards to early settlements,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
104,28 to 37,Male,Married,Southern,Bachelor,Mzuni,2016.0,Forestry,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Work with borrowers to find mutually beneficial solution ,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
105,28 to 37,Male,Single,Central,Bachelor,Mzuni,2008.0,Forestry,Employed_fulltime,2007,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,neutral,effective,positive,Consider partnering with specialised collection agencies,neutral,"Improve communication and follow-up, Simplify repayment methods"
106,Above 49,Male,Married,Southern,Doctorate,Mzuni,2003.0,Forestry,Employed_fulltime,2002,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Celebrate success ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
107,28 to 37,Female,Married,Southern,Bachelor,Mzuni,2000.0,Forestry,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automotive Reminders ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
108,38 to 48,Male,Married,Southern,Bachelor,Mzuni,2011.0,Forestry,Employed_fulltime,2018,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automate reminders,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
109,28 to 37,Male,Single,Central,Bachelor,Mzuni,2016.0,Tourism,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,ineffective,neutral,neutral,Implement incentive programs to encourage borrowers to make timely payments,neutral,Simplify repayment methods
110,Above 49,Male,Married,Central,Doctorate,Poly,2000.0,Accountancy,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
111,38 to 48,Male,Married,northern,Bachelor,Luanar,2007.0,Animal_Science,Employed_parttime,2006,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,ineffective,negative,Use Automated decisioning tools,Dissatisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
112,Above 49,Female,Married,northern,Bachelor,Mzuni,2012.0,Architectural_Studies_,Employed_fulltime,2011,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,neutral,effective,positive,Regular follow ups ,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
113,28 to 37,Male,Married,northern,Bachelor,Poly,2013.0,Architectural_Studies_,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,convenient,effective,neutral,neutral,Clear communication,Satisfied,Improve communication and follow-up
114,21 to 27,Female,Single,Central,Bachelor,Poly,2014.0,Architectural_Studies_,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,very_effective,effective,very_positive,Ensure adherence to regulatory requirements and industry standards ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
115,38 to 48,Female,Married,northern,Bachelor,Mzuni,2015.0,Biomedical_Science,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,convenient,effective,effective,positive,Work with borrowers to find matually beneficial solutions,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
116,38 to 48,Female,Married,northern,Bachelor,Mzuni,2010.0,Chemistry,Employed_fulltime,2010,"Less than MWK 200,000",Living,Partially_paid,Phonecall_Inperson,monthly_salary,convenient,ineffective,neutral,negative,Ensure borrowers understand loan terms and consequences of default,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
117,38 to 48,Male,Married,northern,Master,Mzuni,2009.0,Chemistry,Employed_fulltime,2008,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Leverage social and online platforms to CoMmunicate with borrowers and facilitate payments,Satisfied,Improve communication and follow-up
118,Above 49,Female,Married,Central,Master,Mzuni,2013.0,Chemistry,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Work with borrowers to find mutually beneficial solution ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
119,28 to 37,Male,Married,Southern,Master,Mzuni,2012.0,Chemistry,Employed_fulltime,2011,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
120,28 to 37,Male,Married,northern,Bachelor,Mzuni,2013.0,Chemistry,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
121,Above 49,Male,Married,northern,Doctorate,Mzuni,2002.0,Chemistry,Employed_fulltime,2001,"MWK 300,001 – MWK 500,000",Tuition_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
122,21 to 27,Female,Married,northern,Bachelor,Mzuni,2016.0,Chemistry,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
123,28 to 37,Female,Married,Southern,Bachelor,Mzuni,2017.0,Chemistry,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automotive Reminders ,neutral,"Simplify repayment methods, Reduce interest rates"
124,38 to 48,Male,Married,northern,Bachelor,Mzuni,2015.0,Chemistry,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Conduct regular audits ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
125,28 to 37,Male,Single,Central,Master,Mzuni,2016.0,Chemistry,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use positive languages ,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
126,21 to 27,Male,Single,Southern,Bachelor,Mzuni,2014.0,Chemistry,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Conduct regular audits ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
127,Above 49,Female,Married,Southern,Doctorate,Mzuni,2000.0,Chemistry,Employed_fulltime,1999,"Above MWK1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Celebrate success ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
128,38 to 48,Male,Married,Central,Bachelor,Poly,2007.0,Environmental_Health,Employed_fulltime,2006,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson_Employer,monthly_salary,convenient,effective,effective,neutral,Track key metrics and adjust strategies accordingly,Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
129,28 to 37,Male,Single,Central,Master,Luanar,2013.0,Fisheries,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
130,28 to 37,Male,Married,Southern,Bachelor,Chanco,2012.0,Food_and_Nutrition,Employed_fulltime,2011,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Regularly review refine their collection strategy to optimise resources,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
131,28 to 37,Male,Single,Central,Master,Luanar,2008.0,Irrigation_Engineering,Self_employed,2007,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Inperson,voluntary_monthly,very_convenient,effective,very_effective,very_positive,Automate the system,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
132,28 to 37,Male,Married,Central,Bachelor,Luanar,2013.0,Natural_Resources_Management,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Phonecall,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
133,38 to 48,Female,Married,northern,Bachelor,Mzuni,2012.0,Nursing_and_Midwifery,Employed_fulltime,2011,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,convenient,effective,effective,positive,Automate the system,Satisfied,Simplify repayment methods
134,Above 49,Male,Divorced,Central,Doctorate,Mzuni,2006.0,Optometry,Employed_fulltime,2005,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,inconvenient,ineffective,ineffective,negative,Clear communication,Very dissatisfied,Improve communication and follow-up
135,21 to 27,Female,Single,northern,Bachelor,Mzuni,2016.0,Renewable_Energy_Technologies,Unemployed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Email_Phonecall,none,neutral,neutral,neutral,neutral,Automate the system,neutral,Simplify repayment methods
136,28 to 37,Male,Married,Central,Bachelor,Chanco,2015.0,Social_Science,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,effective,effective,neutral,Use data analytics,neutral,Simplify repayment methods
137,21 to 27,Female,Single,Southern,Bachelor,Luanar,2016.0,Textile_and_Fashion_Design,Self_employed,2015,"Above MWK1,000,000",Tuition,Partially_paid,Email_Inperson,voluntary_monthly,convenient,effective,effective,positive,Automate the system,Satisfied,Reduce interest rates
138,38 to 48,Male,Married,Central,Bachelor,Luanar,2016.0,Veterinary_Medicine,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Automate the system,Satisfied,Reduce interest rates
139,28 to 37,Male,Married,northern,Bachelor,Mzuni,2014.0,Chemistry,Employed_fulltime,2013,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Leverage technology ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
140,28 to 37,Female,Married,Southern,Bachelor,MANCOSA,2013.0,Business_Administration,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,none,none,convenient,neutral,ineffective,neutral,Put in place security measures of collecting the loans immediately one starts working.,neutral,Provide more flexible repayment plans
141,38 to 48,Male,Married,Central,Master,Chanco,2006.0,Education_Science,Employed_fulltime,2005,"Less than MWK 1,000,000",Tuition_Stationery,Fully_paid,Letter,oneoff,neutral,neutral,effective,positive,Automate the system,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
142,28 to 37,Female,Married,Southern,Bachelor,Mzuni,2009.0,Education_Science,Employed_fulltime,2013,"MWK 300,001 – MWK 500,000",Tuition_Stationery,Fully_paid,Email,oneoff,convenient,effective,neutral,very_positive,Use more appealing messaging,Satisfied,Improve communication and follow-up
143,28 to 37,Female,Single,Southern,Master,Mzuni,2014.0,Education_Science,Employed_fulltime,2013,"K365,000",Tuition,Fully_paid,none,oneoff,convenient,effective,effective,positive,Engage the beneficiaries from the beginning and make them aware of the loan and how the board is expecting the beneficiaries to pay back ,Very dissatisfied,Improve communication and follow-up
144,28 to 37,Male,Married,Central,Bachelor,Poly,2012.0,Education_Science,Employed_fulltime,2012,"MWK 300,001 – MWK 500,000",Tuition,not_paid,Phonecall,monthly_salary,very_convenient,effective,effective,very_positive,Deduct at source,Satisfied,Improve communication and follow-up
145,21 to 27,Male,Single,Southern,Bachelor,Chanco,2013.0,Education_Science,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,neutral,Technology integration,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
146,38 to 48,Female,Divorced,Central,Master,Chanco,2004.0,Education_Science,Employed_fulltime,2003,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,neutral,effective,effective,positive,Clear communication,neutral,"Improve communication and follow-up, Simplify repayment methods"
147,38 to 48,Male,Married,Central,Master,Mzuni,2010.0,Education_Science,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,neutral,neutral,neutral,positive,Regular follow ups,neutral,"Simplify repayment methods, Provide more flexible repayment plans"
148,Above 49,Male,Widowed,northern,Doctorate,Chanco,2001.0,Education_Science,Employed_fulltime,2000,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,neutral,effective,neutral,positive,Divide borrowers based on risk and payment history and other factors ,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
149,28 to 37,Male,Single,Southern,Bachelor,Mzuni,2013.0,Education_Science,Employed_fulltime,2012,"Above MWK1,000,000",Tuition,Partially_paid,Employer,voluntary_monthly,neutral,neutral,neutral,neutral,Clear communication ,neutral,"Improve communication and follow-up, Reduce interest rates"
150,38 to 48,Male,Married,northern,Bachelor,Mzuni,2013.0,Education_Science,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,neutral,neutral,effective,neutral,"Develop skills and knowledge in collection, negotiation and customer service",Satisfied,"Improve communication and follow-up, Reduce interest rates"
151,28 to 37,Female,Married,Central,Bachelor,Chanco,2017.0,Education_Science,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Living,not_paid,Email,none,neutral,neutral,neutral,neutral,Clear communication,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
152,Above 49,Male,Married,northern,Doctorate,Chanco,2000.0,Education_Science,Employed_fulltime,1999,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,neutral,positive,Automate the system,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
153,28 to 37,Female,Married,Central,Bachelor,Mzuni,2017.0,Education_Science,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,neutral,neutral,effective,neutral,Focus on understand and solutions oriented approach,Satisfied,Reduce interest rates
154,28 to 37,Female,Married,Central,Bachelor,Mzuni,2009.0,Education_Science,Employed_fulltime,2008,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,neutral,neutral,effective,positive,Clear communication,neutral,"Simplify repayment methods, Reduce interest rates"
155,28 to 37,Female,Married,northern,Bachelor,Chanco,2015.0,Education_Science,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Clear communication,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
156,Above 49,Male,Married,Southern,Doctorate,Poly,2009.0,Education_Science,Employed_fulltime,2008,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,very_convenient,very_effective,effective,very_positive,Automate the system,Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
157,21 to 27,Male,Single,northern,Bachelor,Chanco ,2016.0,Education_Science,Employed_fulltime,2020,"MWK 600,001 – MWK 1,000,000",Living,not_paid,Email,monthly_salary,convenient,effective,neutral,positive,Use social media and online platform ,Satisfied,"Improve communication and follow-up, Reduce interest rates"
158,Above 49,Female,Divorced,northern,Master,Chanco ,1990.0,Education_Science,Employed_parttime,1990,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Inperson,voluntary_monthly,convenient,effective,effective,positive,Automate the system,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
159,Above 49,Female,Widowed,northern,Doctorate,CoM ,1999.0,Education_Science,Self_employed,1998,"Above MWK1,000,000",Living,Fully_paid,Inperson,voluntary_monthly,convenient,effective,neutral,positive,Automate the system,Satisfied,Reduce interest rates
160,Above 49,Male,Married,northern,Doctorate,Chanco ,1997.0,Education_Science,Employed_parttime,1996,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Inperson,voluntary_monthly,neutral,effective,effective,positive,Automate the system,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
161,38 to 48,Male,Divorced,northern,Doctorate,Chanco ,2009.0,Education_Science,Employed_fulltime,2008,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall,monthly_salary,neutral,effective,effective,positive,Automate the system,Satisfied,"Improve communication and follow-up, Reduce interest rates"
162,Above 49,Female,Widowed,northern,Doctorate,Chanco ,1992.0,Education_Science,Employed_parttime,1991,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,Stay up to date with industry trends ,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
163,Above 49,Female,Widowed,northern,Doctorate,Chanco ,2003.0,Education_Science,Employed_fulltime,2002,"Above MWK1,000,000",Living,Fully_paid,Phonecall,monthly_salary,convenient,effective,effective,positive,Automate the system,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
164,38 to 48,Female,Married,northern,Doctorate,Chanco ,2016.0,Education_Science,Employed_parttime,2015,"Above MWK1,000,000",Living_Stationery,Fully_paid,Email,monthly_salary,neutral,effective,effective,positive,Conduct root cause analysis ,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
165,21 to 27,Male,Single,Southern,Bachelor,Mzuni,2014.0,Education_Science,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Email_Inperson,none,convenient,effective,effective,positive,Use social media to remainder borrowers,Satisfied,"Simplify repayment methods, Reduce interest rates"
166,Above 49,Male,Widowed,Central,Doctorate,Chanco,2005.0,Education_Science,Employed_fulltime,2003,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Improve on communication strategies,Satisfied,"Simplify repayment methods, Reduce interest rates"
167,28 to 37,Male,Single,northern,Bachelor,Chanco,2013.0,Education_Science,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities and colleges,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
168,28 to 37,Male,Single,Southern,Bachelor,Mzuni,2013.0,Education_Science,Employed_parttime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Simplify repayment methods, Reduce interest rates"
169,Above 49,Female,Widowed,northern,Doctorate,Chanco,2002.0,Education_Science,Employed_fulltime,2001,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,neutral,neutral,neutral,Offer support in multiple languages to acCoMmodate diverse borrowers populations,Satisfied,Provide more flexible repayment plans
170,38 to 48,Male,Married,Southern,Master,Chanco,2010.0,Education_Science,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,convenient,effective,effective,positive,Clear communication strategies,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
171,38 to 48,Female,Married,Central,Master,Mzuni,2008.0,Education_Science,Employed_fulltime,2007,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,neutral,positive,Technology integration,neutral,"Simplify repayment methods, Reduce interest rates"
172,28 to 37,Female,Married,northern,Bachelor,Mzuni,2013.0,Education_Science,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,effective,neutral,Improve tracking with universities,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
173,Above 49,Female,Widowed,northern,Master,Chanco,2003.0,Education_Science,Employed_fulltime,2002,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automate the system,Very satisfied,Reduce interest rates
174,21 to 27,Female,Single,Southern,Bachelor,Mzuni,2015.0,Education_Science,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Living,Partially_paid,Email,monthly_salary,neutral,neutral,effective,positive,Provide financial education,neutral,Provide more flexible repayment plans
175,28 to 37,Female,Married,Central,Bachelor,Chanco,2013.0,Education_Science,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Fully_paid,Email,monthly_salary,convenient,effective,effective,neutral,Develop CoMpliant resolution process,neutral,Improve communication and follow-up
176,Above 49,Male,Married,northern,Doctorate,Mzuni,2003.0,Education_Science,Employed_fulltime,2002,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,effective,neutral,positive,Conduct regular borrower surveys,neutral,Reduce interest rates
